Metric,D-0,D-1,D-5,Unit
SPX_CLOSE,7272.5,7243.75,7194.75,pts
ATH_252D_DIST,-0.39%,-0.13%,-0.08%,%
DIST_252D_LOW,29.96%,29.45%,31.88%,%
SMA_50,6845.28,6838.29,6812.16,pts
SMA_200,6759.78,6755.12,6737.17,pts
SMA200_SLOPE,4.52,4.46,4.25,p/d
SMA50_200_SPREAD,1.26%,1.23%,1.11%,%
CLOSE_VS_SMA50,6.24%,5.93%,5.62%,%
CLOSE_VS_SMA200,7.58%,7.23%,6.79%,%
VWAP_ANCHORED,6859.27,6856.09,6842.47,pts
VWAP_DIST,6.02%,5.65%,5.15%,%
WEEKLY_RANGE,164.66,122.04,122.04,pts
FIB_38.2,6649.54,6620.34,6533.91,pts
FIB_50.0,6448.38,6424.75,6328,pts
FIB_61.8,6247.21,6229.17,6122.09,pts
FIB_EXT_161.8,8354.29,8277.84,8278.91,pts
DIST_VS_FIB38.2,8.57%,8.61%,9.19%,%
DIST_VS_FIB61.8,14.1%,14.01%,14.91%,%
RSI_14,71.7,70.4,70.1,
RSI_DIV,-1,-1,-1,
MACD_HIST,14.16,15.1,36.21,
DELTA_RSI_5D,1.64,2.55,-3.29,
DELTA_MACD_5D,-22.05,-25.36,-27.01,
ADX_14,24.4,24.04,25.94,
STOCH_RSI_K,75.47,69.21,86.36,
VOL_RATIO,0.62,1.22,0.68,x
VOL_RATIO_5D_AVG,0.78,0.79,0.69,x
OBV_TREND_VS10D,0.44%,0.12%,0.27%,%
OBV_SLOPE_5D,0.44,0.55,-0.64,%
UP_VOL_PCT_5D,61.1%,63.14%,35.6%,%
MFI_14,61.4,62.3,77.3,
CMF_20,0.48,0.49,0.48,
SPX_VS_RSP_20D,4.98%,4.02%,5%,%
MAG7_REL_20D,5.18%,4.76%,5.8%,%
RUT_IWM_REL_20D,1.09%,1.23%,1.6%,%
RISK_ON_OFF_IDX,8.99%,8.48%,11.64%,%
XLK_VS_XLU_ROT,18.45%,16.19%,22.03%,%
XLF_REL_STR,-4.99%,-4.33%,-5.04%,%
XLE_REL_STR,-10.52%,-8.91%,-21.69%,%
VIX_INDEX,16.71,16.89,18.71,
VIX_TS_SPREAD,3.4,3.19,2.59,
VIX_VIX3M_RATIO,0.83,0.84,0.88,x
VIX_VS_SMA20,-2.51,-2.69,-2.5,
REALIZED_VOL_10D,9.33%,10.54%,10.38%,%
IV_RV_RATIO,1.79,1.6,1.8,x
SKEW_INDEX,143.33,143.33,139.08,
SKEW_VIX_RATIO,8.58,8.49,7.43,x
PUT_CALL_RATIO,0.7536,0.7948,0.787,
BB_WIDTH,10.36%,11.31%,14.22%,%
ATR_14,92.24,94.95,101.46,pts
ATR_RATIO_20D,0.85,0.86,0.86,x
GEX_FLIP,7150,-,-,pts
GEX_CALL_WALL,7300,-,-,pts
GEX_PUT_WALL,6000,-,-,pts
GEX_NET_VALUE,+1.10G,-,-,G
GEX_FLIP_PROX,1.68,-,-,%
GEX_REGIME,POZITIVNÍ,-,-,
VPVR_POC,6859.25,-,-,pts
VPVR_HVN,6800-6950,-,-,pts
VPVR_LVN,7050-7150,-,-,pts
FED_FUNDS_RATE,3.64%,-,-,%
10Y_TREASURY_YIELD,4.25%,-,-,%
2Y_TREASURY_YIELD,3.92%,-,-,%
3M_TREASURY_BILL,3.68%,-,-,%
10Y_BREAKEVEN_INFLATION,2.46%,-,-,%
YIELD_CURVE_10Y-3M,0.57,-,-,
YIELD_CURVE_10Y-2Y,0.52,-,-,
M2_MONEY_SUPPLY,22.69T,-,-,T
M2_YOY,4.57%,-,-,%
FED_REVERSE_REPO_RRP,607M,-,-,M
REAL_FFR_(FFR-Breakeven),1.18%,-,-,%
REAL_10Y_(10Y-Breakeven),1.79%,-,-,%
EQUITY_RISK_PREMIUM,-1.02%,-,-,%
BUFFETT_INDICATOR,229.57%,-,-,
SHILLER_CAPE,40.94x,-,-,x
SP500_PE_TTM,30.99x,-,-,x
FORWARD_PE,21,-,-,x
HY_CREDIT_SPREAD,2.83%,-,-,%
IG_CREDIT_SPREAD,0.81%,-,-,%
AAII_BULL_BEAR_SPRD,-1.56pp,-,-,pp
MARGIN_DEBT,609.68B,-,-,B
USD_INDEX_DXY,98.23,-,-,
WTI_CRUDE_OIL,102.15,-,-,
GOLD_PRICE,4612.07,-,-,
ISM_MANUFACTURING,52.7,-,-,
CONSUMER_SENTIMENT,53.3,-,-,
NONFARM_PAYROLLS,158.64M,-,-,M
JOBLESS_CLAIMS,189K,-,-,K
CORE_PCE_YOY,3.2%,-,-,%
PPI_INDEX,274.1,-,-,
BUILDING_PERMITS,1.37M,-,-,M
DURABLE_GOODS_ORDERS,318.88B,-,-,B
SLOOS_CI_TIGHTENING,5.3%,-,-,%
CC_DELINQ_RATE,2.94%,-,-,%
SPXA200R,17.35,-,-,%
SPXA50R,1.66,-,-,%
CNN_FEAR_GREED,66,-,-,0-100
EW_WAVE_NUM,3,-,-,
EW_WAVE_TYPE,IMP,-,-,IMP/COR
EW_CONVICTION,M,-,-,H/M/L
